Reef_ID,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
166,U/N Reef,0,0,0,0,0.153146867,0,0,0,0,0.153146867,131278.5004,Far Northern Management Area,Cape York Peninsula,59071,E
167,U/N Reef,0,0,0,0,0.067447559,0,0,0,0,0.067447559,148086.8207,Far Northern Management Area,Cape York Peninsula,59071,E
168,U/N Reef,0,0,0,0,0.271328613,0,0,0,0,0.271328613,147681.2976,Far Northern Management Area,Cape York Peninsula,59071,E
169,U/N Reef,0,0,0,0,0.781783302,0,0,0,0,0.781783302,147659.4218,Far Northern Management Area,Cape York Peninsula,59071,E
134,U/N Reef,0,0,0,0,0,0,14.45534497,0,0,14.45534497,115374.0276,Far Northern Management Area,Cape York Peninsula,59071,E
178,Milman-Aplin Reef,0,0,0,0,0,0,0,10.78204314,0,10.78204314,110376.6204,Far Northern Management Area,Cape York Peninsula,59071,E
179,Parsons Reef,0,0,0,0,0,5.992333223,0,0,0,5.992333223,129922.9709,Far Northern Management Area,Cape York Peninsula,59071,E
180,Collette Reef,0,0,0,0,0,4.309867743,0,0,0,4.309867743,144717.9697,Far Northern Management Area,Cape York Peninsula,59071,E
181,Douglas Islet Reef,0,0,0,0,0,0,5.432847762,0,0,5.432847762,113549.9293,Far Northern Management Area,Cape York Peninsula,59071,E
182,U/N Reef,0,0,0,0,0,3.79067657,0,0,0,3.79067657,137084.1855,Far Northern Management Area,Cape York Peninsula,59071,E
183,U/N Reef,0,0,0,0,0,3.588029837,0,0,0,3.588029837,131204.6716,Far Northern Management Area,Cape York Peninsula,59071,E
184,U/N Reef,0,0,0,0,0.050473439,0,0,0,0,0.050473439,120730.2702,Far Northern Management Area,Cape York Peninsula,59071,E
185,U/N Reef,0,0,0,0,0.085609718,0,0,0,0,0.085609718,121497.7718,Far Northern Management Area,Cape York Peninsula,59071,E
186,U/N Reef,0,0,0,0,0,0,6.50768361,0,0,6.50768361,133765.5393,Far Northern Management Area,Cape York Peninsula,59071,E
187,Onslow Reef,0,0,0,0,0.069512936,0,0,0,0,0.069512936,142995.9348,Far Northern Management Area,Cape York Peninsula,59071,E
188,Wilds Shoal,0,0,0,0,8.769251583,0,0,0,0,8.769251583,148738.9424,Far Northern Management Area,Cape York Peninsula,59071,E
189,U/N Reef,0,0,0,0,1.707525811,0,0,0,0,1.707525811,161376.8809,Far Northern Management Area,Cape York Peninsula,59072,E
190,U/N Reef,0,0,0,0,0,0,1.158440762,0,0,1.158440762,129943.4289,Far Northern Management Area,Cape York Peninsula,59071,E
191,U/N Reef,0,0,0,0,0,0,4.656653617,0,0,4.656653617,131281.0317,Far Northern Management Area,Cape York Peninsula,59071,E
192,Turning Point Patches (No 1),0,0,0,0,0,0,9.722709458,0,0,9.722709458,156532.4059,Far Northern Management Area,Cape York Peninsula,59071,E
170,Turning Point Patches (No 2),0,0,0,0,0,0,3.406208043,0,0,3.406208043,161033.6028,Far Northern Management Area,Cape York Peninsula,59072,E
171,U/N Reef,0,0,0,0,0,0,6.065769891,0,0,6.065769891,152484.4285,Far Northern Management Area,Cape York Peninsula,59071,E
172,U/N Reef,0,0,0,0,0,0,6.902627007,0,0,6.902627007,135913.1562,Far Northern Management Area,Cape York Peninsula,59071,E
173,U/N Reef,0,0,0,0,0,0,0.030693356,0,0,0.030693356,130365.7991,Far Northern Management Area,Cape York Peninsula,59071,E
174,Cholmondeley Reef,0,0,0,0,0,0,8.496354198,0,0,8.496354198,129198.5967,Far Northern Management Area,Cape York Peninsula,59071,E
175,Jardine Reef,0,0,0,0,0,0,3.537482633,0,0,3.537482633,127581.3016,Far Northern Management Area,Cape York Peninsula,59071,E
176,U/N Reef,0,0,0,0,0,0,5.683697801,0,0,5.683697801,139926.8051,Far Northern Management Area,Cape York Peninsula,59071,E
177,Wallace Islet Reef,0,0,0,0,0,0,7.409044794,0,0,7.409044794,133135.7056,Far Northern Management Area,Cape York Peninsula,59071,E
199,U/N Reef,0,0,0,0,0,0,8.582444201,0,0,8.582444201,144673.8374,Far Northern Management Area,Cape York Peninsula,59332,E
200,U/N Reef,0,0,0,0,0,0,7.518765355,0,0,7.518765355,148516.1214,Far Northern Management Area,Cape York Peninsula,59332,E
201,U/N Reef,0,0,0,0,0,0,4.307445628,0,0,4.307445628,150406.0093,Far Northern Management Area,Cape York Peninsula,59071,E
202,U/N Reef,0,0,0,0,0,0,1.121783614,0,0,1.121783614,149316.5585,Far Northern Management Area,Cape York Peninsula,59071,E
203,Cochin Reef,0,0,0,0,0,0,3.935064477,0,0,3.935064477,153670.1929,Far Northern Management Area,Cape York Peninsula,59071,E
204,Parkinson Reef,0,0,0,0,0,0,0,3.31255482,0,3.31255482,141057.7452,Far Northern Management Area,Cape York Peninsula,59071,E
205,Monkman Reef,0,0,0,0,0,0,4.071048929,0,0,4.071048929,142771.8897,Far Northern Management Area,Cape York Peninsula,59071,E
206,U/N Reef,0,0,0,0,0,0,3.456924661,0,0,3.456924661,138385.6077,Far Northern Management Area,Cape York Peninsula,59071,E
207,Little Boydong Reef,0,0,0,0,0,0,4.572953092,0,0,4.572953092,136098.257,Far Northern Management Area,Cape York Peninsula,59332,E
208,Boydong Island Reef,0,0,0,0,0,0,4.158127085,0,0,4.158127085,135737.2526,Far Northern Management Area,Cape York Peninsula,59332,E
209,U/N Reef,0,0,0,0,0.105441225,0,0,0,0,0.105441225,149438.4815,Far Northern Management Area,Torres Strait,59059,E
210,U/N Reef,0,0,0,0,0.245981868,0,0,0,0,0.245981868,161524.3879,Far Northern Management Area,Cape York Peninsula,59072,E
211,U/N Reef,0,0,0,0,1.933210879,0,0,0,0,1.933210879,171765.4445,Far Northern Management Area,Cape York Peninsula,59072,E
