id,reef_uniqueid,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
141,11009100104,Bushy Island Reef,0.000366964,0,0,0,0,0,5.884028531,0,0,5.884395495,104712.4338,Far Northern,Cape York Peninsula,59070,E
142,11010100104,Cairncross Islets Reef,0.00217716,0,0,0,0,0,5.710949062,0,0,5.713126222,107937.8665,Far Northern,Cape York Peninsula,59070,E
143,11011101104,U/N Reef,0,0,0,0,0,0,0.003538822,0,0,0.003538822,105261.0446,Far Northern,Cape York Peninsula,59070,E
144,11011102104,U/N Reef,0,0,0,0,0,0,0.003067243,0,0,0.003067243,105771.1245,Far Northern,Cape York Peninsula,59070,E
145,11012100104,U/N Reef,0.000523585,0,0,0,0,0,0,1.850195248,0,1.850718833,114450.1348,Far Northern,Cape York Peninsula,59070,E
146,11013100104,Halfway Islet Reef,0.000645234,0,0,0,0,0,0,3.285745865,0,3.286391099,122850.0798,Far Northern,Cape York Peninsula,59070,E
147,11014100104,Pearn Reef,0,0,0,0,0,0,0,0.005885766,0,0.005885766,125426.0083,Far Northern,Cape York Peninsula,59070,E
148,11015100104,U/N Reef,4.00E-05,0,0,0,0,0,0,1.766737828,0,1.76677782,117752.5408,Far Northern,Cape York Peninsula,59070,E
149,11016100104,McSweeney Reef,0,0,0,0,0,0,6.783677574,0,0,6.783677574,122397.6887,Far Northern,Cape York Peninsula,59071,E
150,11017100104,U/N Reef,0,0,0,0,0,0.453367671,0,0,0,0.453367671,133567.6125,Far Northern,Cape York Peninsula,59071,E
151,11018100104,U/N Reef,0,0,0,0,0,0.127782595,0,0,0,0.127782595,135551.4458,Far Northern,Cape York Peninsula,59071,E
152,11019100104,U/N Reef,0,0,0,0,0,0,0.513836582,0,0,0.513836582,147876.9317,Far Northern,Cape York Peninsula,59071,E
153,11020100104,U/N Reef,0,0,0,0,0,0.054653014,0,0,0,0.054653014,138064.762,Far Northern,Cape York Peninsula,59071,E
154,11021100104,U/N Reef,0,0,0,0,0,0.098098509,0,0,0,0.098098509,138438.5867,Far Northern,Cape York Peninsula,59071,E
155,11022100104,U/N Reef,0,0,0,0,0,0.222968558,0,0,0,0.222968558,151287.4694,Far Northern,Cape York Peninsula,59072,E
156,11023100104,U/N Reef,0,0,0,0,0,1.11705897,0,0,0,1.11705897,142054.4888,Far Northern,Cape York Peninsula,59071,E
157,11024100104,U/N Reef,0,0,0,0,0,0.089099799,0,0,0,0.089099799,135676.3385,Far Northern,Cape York Peninsula,59071,E
158,11025100104,U/N Reef,0,0,0,0,0,0,14.90454033,0,0,14.90454033,108560.5076,Far Northern,Cape York Peninsula,59071,E
159,11026100104,Sinclair Reef,0.000393997,0,0,0,0,0,0,6.442053319,0,6.442447316,107095.2345,Far Northern,Cape York Peninsula,59071,E
160,11027100104,U/N Reef,0,0,0,0,0,0,0,0.000847784,0,0.000847784,106737.4141,Far Northern,Cape York Peninsula,59071,E
161,11028100104,U/N Reef,0,0,0,0,0,0.394315006,0,0,0,0.394315006,152590.5095,Far Northern,Cape York Peninsula,59072,E
162,11029100104,Monsoon Reef,0,0,0,0,0,0.332740128,5.592672682,0,0,5.92541281,130102.6029,Far Northern,Cape York Peninsula,59071,E
163,11030100104,U/N Reef,0,0,0,0,0,2.906576821,0,0,0,2.906576821,146199.87,Far Northern,Cape York Peninsula,59072,E
164,11031100104,U/N Reef,0,0,0,0,0,0.153146867,0,0,0,0.153146867,131278.5004,Far Northern,Cape York Peninsula,59071,E
165,11032100104,U/N Reef,0,0,0,0,0,0.067447559,0,0,0,0.067447559,148086.8207,Far Northern,Cape York Peninsula,59071,E
166,11033101104,U/N Reef,0,0,0,0,0,0.271328613,0,0,0,0.271328613,147681.2976,Far Northern,Cape York Peninsula,59071,E
167,11033102104,U/N Reef,0,0,0,0,0,0.781783302,0,0,0,0.781783302,147659.4218,Far Northern,Cape York Peninsula,59071,E
168,11034100104,U/N Reef,0.000397483,0,0,0,0,0,0,14.45494749,0,14.45534497,115374.0276,Far Northern,Cape York Peninsula,59071,E
169,11035100104,Milman-Aplin Reef,0.000899627,0,0,0,0,0,0,0,10.78114351,10.78204314,110376.6204,Far Northern,Cape York Peninsula,59071,E
170,11036100104,Parsons Reef,0,0,0,0,0,0.129725544,5.862607679,0,0,5.992333223,129922.9709,Far Northern,Cape York Peninsula,59071,E
171,11037100104,Collette Reef,0,0,0,0,0,0.003281507,4.306586236,0,0,4.309867743,144717.9697,Far Northern,Cape York Peninsula,59071,E
172,11038100104,Douglas Islet Reef,0.000414796,0,0,0,0,0,0,5.432432966,0,5.432847762,113549.9293,Far Northern,Cape York Peninsula,59071,E
173,11039100104,U/N Reef,0,0,0,0,0,0,3.79067657,0,0,3.79067657,137084.1855,Far Northern,Cape York Peninsula,59071,E
174,11040100104,U/N Reef,0,0,0,0,0,0.559327742,3.028702095,0,0,3.588029837,131204.6716,Far Northern,Cape York Peninsula,59071,E
175,11041101104,U/N Reef,0,0,0,0,0,0.050473439,0,0,0,0.050473439,120730.2702,Far Northern,Cape York Peninsula,59071,E
176,11041102104,U/N Reef,0,0,0,0,0,0.085609718,0,0,0,0.085609718,121497.7718,Far Northern,Cape York Peninsula,59071,E
177,11042100104,U/N Reef,0,0,0,0,0,1.146609243,0,5.361074367,0,6.50768361,133765.5393,Far Northern,Cape York Peninsula,59071,E
178,11043100104,Onslow Reef,0,0,0,0,0,0.04510044,0,0.024412496,0,0.069512936,142995.9348,Far Northern,Cape York Peninsula,59071,E
179,11044100104,Wilds Shoal,0,0,0,0,0,8.721287742,0,0.047963841,0,8.769251583,148738.9424,Far Northern,Cape York Peninsula,59071,E
180,11045100104,U/N Reef,0,0,0,0,0,1.707525811,0,0,0,1.707525811,161376.8809,Far Northern,Cape York Peninsula,59072,E
181,11046100104,U/N Reef,0,0,0,0,0,0,0,1.158440762,0,1.158440762,129943.4289,Far Northern,Cape York Peninsula,59071,E
182,11047100104,U/N Reef,0,0,0,0,0,0,0,4.656653617,0,4.656653617,131281.0317,Far Northern,Cape York Peninsula,59071,E
183,11048101104,Turning Point Patches (No 1),0,0,0,0,0,0,0,9.722709458,0,9.722709458,156532.4059,Far Northern,Cape York Peninsula,59071,E
184,11048102104,Turning Point Patches (No 2),0,0,0,0,0,0,0,3.406208043,0,3.406208043,161033.6028,Far Northern,Cape York Peninsula,59072,E
185,11049100104,U/N Reef,0,0,0,0,0,0,0,6.065769891,0,6.065769891,152484.4285,Far Northern,Cape York Peninsula,59071,E
186,11050100104,U/N Reef,0,0,0,0,0,0,0,6.902627007,0,6.902627007,135913.1562,Far Northern,Cape York Peninsula,59071,E
187,11051100104,U/N Reef,0,0,0,0,0,0,0,0.030693356,0,0.030693356,130365.7991,Far Northern,Cape York Peninsula,59071,E
188,11052100104,Cholmondeley Reef,0.000116307,0,0,0,0,0,0,8.496237891,0,8.496354198,129198.5967,Far Northern,Cape York Peninsula,59071,E
189,11053100104,Jardine Reef,0.000378384,0,0,0,0,0,0,3.537104249,0,3.537482633,127581.3016,Far Northern,Cape York Peninsula,59071,E
190,11054100104,U/N Reef,0,0,0,0,0,0,0,5.683697801,0,5.683697801,139926.8051,Far Northern,Cape York Peninsula,59071,E
191,11055100104,Wallace Islet Reef,0.000205267,0,0,0,0,0,0,7.408839527,0,7.409044794,133135.7056,Far Northern,Cape York Peninsula,59071,E
192,11056101104,U/N Reef,0,0,0,0,0,0,0,8.582444201,0,8.582444201,144673.8374,Far Northern,Cape York Peninsula,59332,E
193,11056102104,U/N Reef,0,0,0,0,0,0,0,7.518765355,0,7.518765355,148516.1214,Far Northern,Cape York Peninsula,59332,E
